,ID,nName,nodeDegree,nodeBetweenness,country,group
TRA27_A5_TRE_tRNA_Pro.ab1,0,TRA27_A5_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA36_A9_TRE_tRNA_Pro.ab1,1,TRA36_A9_TRE_tRNA_Pro.ab1,4,4.15495207,AUS,2
TRA7_I7_TRE_tRNA_Pro.ab1,2,TRA7_I7_TRE_tRNA_Pro.ab1,6,6.248003754,NZ,1
TRA9_A8_round1control_H5_TRE_tRNA_Pro_F.ab1,3,TRA9_A8_round1control_H5_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA9_C5_Round_2_control_A6_TRE_tRNA_Pro_F.ab1,4,TRA9_C5_Round_2_control_A6_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA35_C7_TRE_tRNA_Pro.ab1,5,TRA35_C7_TRE_tRNA_Pro.ab1,4,4.566228051,AUS,2
TRA36_E5_TRE_tRNA_Pro.ab1,6,TRA36_E5_TRE_tRNA_Pro.ab1,3,0,AUS,2
TRA37_C2_Round_3_control_H9_TRE_tRNA_Pro_F.ab1,7,TRA37_C2_Round_3_control_H9_TRE_tRNA_Pro_F.ab1,7,15.79863644,AUS,2
TRA9_A9_Round_2_control_C5_TRE_tRNA_Pro_F.ab1,8,TRA9_A9_Round_2_control_C5_TRE_tRNA_Pro_F.ab1,4,6.163224908,NZ,1
TRA15_A9_TRE_tRNA_Pro.ab1,9,TRA15_A9_TRE_tRNA_Pro.ab1,2,3.099356864,NZ,1
TRA26_G1_TRE_tRNA_Pro.ab1,10,TRA26_G1_TRE_tRNA_Pro.ab1,2,3.099356864,NZ,1
TRA35_E3_TRE_tRNA_Pro.ab1,11,TRA35_E3_TRE_tRNA_Pro.ab1,6,8.562860557,AUS,2
TRA37_A1_TRE_tRNA_Pro.ab1,12,TRA37_A1_TRE_tRNA_Pro.ab1,3,3.099356864,AUS,2
TRA37_C5_Round_3_control_C10_TRE_tRNA_Pro_F.ab1,13,TRA37_C5_Round_3_control_C10_TRE_tRNA_Pro_F.ab1,4,18.992433,AUS,2
TRA37_C9_TRE_tRNA_Pro.ab1,14,TRA37_C9_TRE_tRNA_Pro.ab1,4,0.327285776,AUS,2
TRA37_C10_TRE_tRNA_Pro.ab1,15,TRA37_C10_TRE_tRNA_Pro.ab1,2,0,AUS,2
TRA12_E7_TRE_tRNA_Pro.ab1,16,TRA12_E7_TRE_tRNA_Pro.ab1,11,39.15323678,NZ,1
TRA22_A10_Round_3_control_A7_TRE_tRNA_Pro_F.ab1,17,TRA22_A10_Round_3_control_A7_TRE_tRNA_Pro_F.ab1,3,4.361575861,NZ,1
TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,18,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,6,7.298078478,NZ,1
TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1,19,TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,20,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,6,20.97389206,NZ,1
TRA37_A5_round1control_F10_TRE_tRNA_Pro_F.ab1,21,TRA37_A5_round1control_F10_TRE_tRNA_Pro_F.ab1,5,19.15331564,AUS,2
TRA37_C1_TRE_tRNA_Pro.ab1,22,TRA37_C1_TRE_tRNA_Pro.ab1,5,0.457411446,AUS,2
TRA37_E2_TRE_tRNA_Pro.ab1,23,TRA37_E2_TRE_tRNA_Pro.ab1,5,33.90542624,AUS,2
TRA37_E3_TRE_tRNA_Pro.ab1,24,TRA37_E3_TRE_tRNA_Pro.ab1,3,0,AUS,2
TRA37_E8_TRE_tRNA_Pro.ab1,25,TRA37_E8_TRE_tRNA_Pro.ab1,6,9.05280342,AUS,2
TRA11_C5_Round_2_control_A7_TRE_tRNA_Pro_F.ab1,26,TRA11_C5_Round_2_control_A7_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,27,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA35_C9_TRE_tRNA_Pro.ab1,28,TRA35_C9_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA37_A2_round1control_A12_TRE_tRNA_Pro_F.ab1,29,TRA37_A2_round1control_A12_TRE_tRNA_Pro_F.ab1,3,15.02360006,AUS,2
TRA37_A8_TRE_tRNA_Pro.ab1,30,TRA37_A8_TRE_tRNA_Pro.ab1,7,38.91388441,AUS,2
TRA37_E1_TRE_tRNA_Pro.ab1,31,TRA37_E1_TRE_tRNA_Pro.ab1,3,19.00150236,AUS,2
TRA37_E4_TRE_tRNA_Pro.ab1,32,TRA37_E4_TRE_tRNA_Pro.ab1,3,0,AUS,2
TRA8_G2_Round_3_control_C4_TRE_tRNA_Pro_F.ab1,33,TRA8_G2_Round_3_control_C4_TRE_tRNA_Pro_F.ab1,6,29.4320606,NZ,1
TRA8_G4_Round_2_control_C4_TRE_tRNA_Pro_F.ab1,34,TRA8_G4_Round_2_control_C4_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1,35,TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1,8,0.904964886,NZ,1
TRA9_A2_round1control_B5_TRE_tRNA_Pro_F.ab1,36,TRA9_A2_round1control_B5_TRE_tRNA_Pro_F.ab1,7,53.07037433,NZ,1
TRA12_E9_TRE_tRNA_Pro.ab1,37,TRA12_E9_TRE_tRNA_Pro.ab1,3,1.004727899,NZ,1
TRA12_G5_TRE_tRNA_Pro.ab1,38,TRA12_G5_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1,39,TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1,8,100,NZ,1
TRA26_E9_TRE_tRNA_Pro.ab1,40,TRA26_E9_TRE_tRNA_Pro.ab1,2,0,NZ,1
TRA29_A4_Round_2_control_E11_TRE_tRNA_Pro_F.ab1,41,TRA29_A4_Round_2_control_E11_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA37_A3_round1control_G11_TRE_tRNA_Pro_F.ab1,42,TRA37_A3_round1control_G11_TRE_tRNA_Pro_F.ab1,10,14.26512514,AUS,2
TRA37_C4_Round_3_control_B10_TRE_tRNA_Pro_F.ab1,43,TRA37_C4_Round_3_control_B10_TRE_tRNA_Pro_F.ab1,2,0,AUS,2
TRA37_E6_TRE_tRNA_Pro.ab1,44,TRA37_E6_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA8_A10_Round_3_control_A4_TRE_tRNA_Pro_F.ab1,45,TRA8_A10_Round_3_control_A4_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA8_E7_Round_3_control_B4_TRE_tRNA_Pro_F.ab1,46,TRA8_E7_Round_3_control_B4_TRE_tRNA_Pro_F.ab1,2,3.099356864,NZ,1
TRA20_C1_Round_2_control_F8_TRE_tRNA_Pro_F.ab1,47,TRA20_C1_Round_2_control_F8_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA20_C8_Round_2_control_E9_TRE_tRNA_Pro_F.ab1,48,TRA20_C8_Round_2_control_E9_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA29_A9_Round_2_control_B12_TRE_tRNA_Pro_F.ab1,49,TRA29_A9_Round_2_control_B12_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA36_A3_round1control_H10_TRE_tRNA_Pro_F.ab1,50,TRA36_A3_round1control_H10_TRE_tRNA_Pro_F.ab1,2,18.20142665,AUS,2
TRA22_C3_Round_3_control_D7_TRE_tRNA_Pro_F.ab1,51,TRA22_C3_Round_3_control_D7_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,52,TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,4,0.023659213,NZ,1
TRA35_E10_TRE_tRNA_Pro.ab1,53,TRA35_E10_TRE_tRNA_Pro.ab1,2,0,AUS,2
TRA36_A7_round1control_C11_TRE_tRNA_Pro_F.ab1,54,TRA36_A7_round1control_C11_TRE_tRNA_Pro_F.ab1,2,0.692820612,AUS,2
TRA35_E9_TRE_tRNA_Pro.ab1,55,TRA35_E9_TRE_tRNA_Pro.ab1,5,18.13754678,AUS,2
TRA36_C2_Round_3_control_E9_TRE_tRNA_Pro_F.ab1,56,TRA36_C2_Round_3_control_E9_TRE_tRNA_Pro_F.ab1,2,0,AUS,2
TRA37_E7_TRE_tRNA_Pro.ab1,57,TRA37_E7_TRE_tRNA_Pro.ab1,4,22.44746669,AUS,2
TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1,58,TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1,5,15.94788664,NZ,1
TRA16_A9_TRE_tRNA_Pro.ab1,59,TRA16_A9_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA37_C8_TRE_tRNA_Pro.ab1,60,TRA37_C8_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA2_A6_Round_3_control_F1_TRE_tRNA_Pro_F.ab1,61,TRA2_A6_Round_3_control_F1_TRE_tRNA_Pro_F.ab1,2,3.099356864,NZ,1
TRA21_G3_TRE_tRNA_Pro.ab1,62,TRA21_G3_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA35_C6_Round_3_control_B9_TRE_tRNA_Pro_F.ab1,63,TRA35_C6_Round_3_control_B9_TRE_tRNA_Pro_F.ab1,11,68.67875127,AUS,2
TRA35_E5_TRE_tRNA_Pro.ab1,64,TRA35_E5_TRE_tRNA_Pro.ab1,4,20.06104077,AUS,2
TRA35_E8_TRE_tRNA_Pro.ab1,65,TRA35_E8_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA37_A10_TRE_tRNA_Pro.ab1,66,TRA37_A10_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA37_C6_Round_3_control_D10_TRE_tRNA_Pro_F.ab1,67,TRA37_C6_Round_3_control_D10_TRE_tRNA_Pro_F.ab1,3,4.298090307,AUS,2
TRA37_E5_TRE_tRNA_Pro.ab1,68,TRA37_E5_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA8_E9_Round_2_control_H3_TRE_tRNA_Pro_F.ab1,69,TRA8_E9_Round_2_control_H3_TRE_tRNA_Pro_F.ab1,2,3.099356864,NZ,1
TRA35_A5_round1control_G9_TRE_tRNA_Pro_F.ab1,70,TRA35_A5_round1control_G9_TRE_tRNA_Pro_F.ab1,4,5.986963774,AUS,2
TRA35_A10_round1control_D10_TRE_tRNA_Pro_F.ab1,71,TRA35_A10_round1control_D10_TRE_tRNA_Pro_F.ab1,5,32.87053284,AUS,2
TRA35_C5_Round_3_control_A9_TRE_tRNA_Pro_F.ab1,72,TRA35_C5_Round_3_control_A9_TRE_tRNA_Pro_F.ab1,2,2.102515369,AUS,2
TRA35_E4_TRE_tRNA_Pro.ab1,73,TRA35_E4_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA35_G2_TRE_tRNA_Pro.ab1,74,TRA35_G2_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA37_A7_round1control_C12_TRE_tRNA_Pro_F.ab1,75,TRA37_A7_round1control_C12_TRE_tRNA_Pro_F.ab1,1,0,AUS,2
TRA12_E10_TRE_tRNA_Pro.ab1,76,TRA12_E10_TRE_tRNA_Pro.ab1,3,31.4904121,NZ,1
TRA35_A9_round1control_C10_TRE_tRNA_Pro_F.ab1,77,TRA35_A9_round1control_C10_TRE_tRNA_Pro_F.ab1,1,0,AUS,2
TRA35_C4_Round_3_control_H8_TRE_tRNA_Pro_F.ab1,78,TRA35_C4_Round_3_control_H8_TRE_tRNA_Pro_F.ab1,2,2.966076632,AUS,2
TRA36_A6_TRE_tRNA_Pro.ab1,79,TRA36_A6_TRE_tRNA_Pro.ab1,2,0,AUS,2
TRA37_A4_round1control_H11_TRE_tRNA_Pro_F.ab1,80,TRA37_A4_round1control_H11_TRE_tRNA_Pro_F.ab1,3,3.099356864,AUS,2
