,ID,nName,nodeDegree,nodeBetweenness,country,group
TRA37_A6_round1control_B12_TRE_tRNA_Pro_F.ab1,81,TRA37_A6_round1control_B12_TRE_tRNA_Pro_F.ab1,4,0.778782418,AUS,2
TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,82,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,2,2.073335673,NZ,1
TRA35_A6_round1control_H9_TRE_tRNA_Pro_F.ab1,83,TRA35_A6_round1control_H9_TRE_tRNA_Pro_F.ab1,3,6.175054515,AUS,2
TRA35_E1_TRE_tRNA_Pro.ab1,84,TRA35_E1_TRE_tRNA_Pro.ab1,4,1.502360006,AUS,2
TRA36_C1_Round_3_control_D9_TRE_tRNA_Pro_F.ab1,85,TRA36_C1_Round_3_control_D9_TRE_tRNA_Pro_F.ab1,4,0.441638637,AUS,2
TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1,86,TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA36_C4_Round_3_control_F9_TRE_tRNA_Pro_F.ab1,87,TRA36_C4_Round_3_control_F9_TRE_tRNA_Pro_F.ab1,3,4.157712312,AUS,2
TRA37_C3_Round_3_control_A10_TRE_tRNA_Pro_F.ab1,88,TRA37_C3_Round_3_control_A10_TRE_tRNA_Pro_F.ab1,3,6.175054515,AUS,2
TRA37_E10_TRE_tRNA_Pro.ab1,89,TRA37_E10_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA9_A4_round1control_D5_TRE_tRNA_Pro_F.ab1,90,TRA9_A4_round1control_D5_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA16_A4_TRE_tRNA_Pro.ab1,91,TRA16_A4_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA22_A2_round1control_B8_TRE_tRNA_Pro_F.ab1,92,TRA22_A2_round1control_B8_TRE_tRNA_Pro_F.ab1,4,25.64796669,NZ,1
TRA7_I4_Round_3_control_B3_TRE_tRNA_Pro_F.ab1,93,TRA7_I4_Round_3_control_B3_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA31_E3_TRE_tRNA_Pro.ab1,94,TRA31_E3_TRE_tRNA_Pro.ab1,3,6.151395302,NZ,1
TRA3_I4_Round_2_control_D2_TRE_tRNA_Pro_F.ab1,95,TRA3_I4_Round_2_control_D2_TRE_tRNA_Pro_F.ab1,3,3.099356864,NZ,1
TRA36_A4_round1control_A11_TRE_tRNA_Pro_F.ab1,96,TRA36_A4_round1control_A11_TRE_tRNA_Pro_F.ab1,1,0,AUS,2
TRA1_E7_TRE_tRNA_Pro.ab1,97,TRA1_E7_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA7_A8_Round_3_control_A3_TRE_tRNA_Pro_F.ab1,98,TRA7_A8_Round_3_control_A3_TRE_tRNA_Pro_F.ab1,6,15.23653298,NZ,1
TRA35_A7_round1control_A10_TRE_tRNA_Pro_F.ab1,99,TRA35_A7_round1control_A10_TRE_tRNA_Pro_F.ab1,4,4.566228051,AUS,2
TRA35_C3_Round_3_control_G8_TRE_tRNA_Pro_F.ab1,100,TRA35_C3_Round_3_control_G8_TRE_tRNA_Pro_F.ab1,3,0,AUS,2
TRA7_A10_TRE_tRNA_Pro.ab1,101,TRA7_A10_TRE_tRNA_Pro.ab1,2,3.099356864,NZ,1
TRA22_A4_round1control_D8_TRE_tRNA_Pro_F.ab1,102,TRA22_A4_round1control_D8_TRE_tRNA_Pro_F.ab1,2,6.151395302,NZ,1
TRA35_C10_TRE_tRNA_Pro.ab1,103,TRA35_C10_TRE_tRNA_Pro.ab1,3,0.078864042,AUS,2
P046469_TRE_tRNA_Pro.ab1,104,P046469_TRE_tRNA_Pro.ab1,2,0,NZ,1
P046470_TRE_tRNA_Pro.ab1,105,P046470_TRE_tRNA_Pro.ab1,2,0,NZ,1
TRA8_A3_Round_3_control_D3_TRE_tRNA_Pro_F.ab1,106,TRA8_A3_Round_3_control_D3_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA16_A2_TRE_tRNA_Pro.ab1,107,TRA16_A2_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA35_E6_TRE_tRNA_Pro.ab1,108,TRA35_E6_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA35_C2_Round_3_control_F8_TRE_tRNA_Pro_F.ab1,109,TRA35_C2_Round_3_control_F8_TRE_tRNA_Pro_F.ab1,2,0,AUS,2
TRA35_C1_round1control_E10_TRE_tRNA_Pro_F.ab1,110,TRA35_C1_round1control_E10_TRE_tRNA_Pro_F.ab1,2,3.099356864,AUS,2
TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,111,TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1,112,TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1,3,4.258658286,NZ,1
TRA11_C4_Round_2_control_H6_TRE_tRNA_Pro_F.ab1,113,TRA11_C4_Round_2_control_H6_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA20_A9_Round_2_control_D8_TRE_tRNA_Pro_F.ab1,114,TRA20_A9_Round_2_control_D8_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA37_A9_TRE_tRNA_Pro.ab1,115,TRA37_A9_TRE_tRNA_Pro.ab1,2,0,AUS,2
TRA8_C6_round1control_B4_TRE_tRNA_Pro_F.ab1,116,TRA8_C6_round1control_B4_TRE_tRNA_Pro_F.ab1,3,0,NZ,1
TRA36_A5_round1control_B11_TRE_tRNA_Pro_F.ab1,117,TRA36_A5_round1control_B11_TRE_tRNA_Pro_F.ab1,1,0,AUS,2
P048492_TRE_tRNA_Pro.ab1,118,P048492_TRE_tRNA_Pro.ab1,9,85.75853408,NZ,1
TRA35_G1_TRE_tRNA_Pro.ab1,119,TRA35_G1_TRE_tRNA_Pro.ab1,3,3.463314419,AUS,2
TRA36_E1_TRE_tRNA_Pro.ab1,120,TRA36_E1_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1,121,TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1,3,6.175054515,NZ,1
P049254_TRE_tRNA_Pro.ab1,122,P049254_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA35_E7_TRE_tRNA_Pro.ab1,123,TRA35_E7_TRE_tRNA_Pro.ab1,3,6.175054515,AUS,2
TRA35_A8_round1control_B10_TRE_tRNA_Pro_F.ab1,124,TRA35_A8_round1control_B10_TRE_tRNA_Pro_F.ab1,1,0,AUS,2
P048495_TRE_tRNA_Pro.ab1,125,P048495_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA7_A4_round1control_D3_TRE_tRNA_Pro_F.ab1,126,TRA7_A4_round1control_D3_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA7_A2_round1control_B3_TRE_tRNA_Pro_F.ab1,127,TRA7_A2_round1control_B3_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA8_I6_Round_2_control_A5_TRE_tRNA_Pro_F.ab1,128,TRA8_I6_Round_2_control_A5_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA6_A8_round1control_H2_TRE_tRNA_Pro_F.ab1,129,TRA6_A8_round1control_H2_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA35_C8_TRE_tRNA_Pro.ab1,130,TRA35_C8_TRE_tRNA_Pro.ab1,3,0.964112918,AUS,2
TRA3_A1_Round_3_control_G1_TRE_tRNA_Pro_F.ab1,131,TRA3_A1_Round_3_control_G1_TRE_tRNA_Pro_F.ab1,3,1.220026735,NZ,1
TRA2_C1_TRE_tRNA_Pro.ab1,132,TRA2_C1_TRE_tRNA_Pro.ab1,1,0,NZ,1
