sampling.box,position,species,tissue.storage.location,preservation.method,reference.code,genbank.accession,museum.id,sample.source,fishing.vessel,vessel.registration,observer.code,field.no,trip,shot,tissue.type,fish.length,catch.depth,landing.date,month.caught,season.caught,year.caught,date.preserved,group,group2,location.country,location.stat.area,location.fma,location.qma,location.coordinate,location.latitude,location.longitude,exact.gps.known,radius,trip.picture,dna.extracted,extraction.start.date,extraction.round,dna.quantity,260.280,260.230,nanodrop.warning,repeat.extraction,tissue.remaining,extracted.dna.remaining,control.pcr.amplified,control.pcr.round,control.pcr.start.date,control.pcr.box.name,control.pcr.tube.number,control.sequenced,control.sequencing.round,control.successfully.sequenced,coi.pcr.amplified,coi.pcr.round,coi.pcr.start.date,coi.pcr.box.name,coi.pcr.tube.number,coi.sequenced,coi.sequencing.round,coi.successfully.sequenced,coi.sequence.available,subsample1,subsample2,subsample3
tra16,g5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,11-10-2018,17,1220.40,2.211,2.341,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,g6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,11-10-2018,17,943.00,2.110,2.109,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,g7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,11-10-2018,17,573.95,2.044,1.938,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,g8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,11-10-2018,17,901.70,2.140,2.086,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,g9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,494.50,2.159,2.197,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,g10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1674.30,2.107,2.091,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,16-11-2018,38,1792.30,2.069,2.012,none,Y,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,3864.50,2.121,1.984,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1375.40,2.115,2.126,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1336.40,2.239,2.307,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1146.80,2.152,1.956,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,2003.20,2.060,2.349,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1324.80,2.117,1.984,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1998.19,2.085,2.125,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,2350.10,2.089,2.115,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra16,i10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,santy maria,NA,NA,6235,NA,NA,caudal fin,NA,NA,3-09-18,september,spring,2018,04-09-2018,new zealand,,new zealand,002,FMA1,TRE1,NA,-34.56,173.16,N,70,santy.maria.3.9.18,Y,25-10-2018,18,1445.80,2.093,2.096,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,a10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,c10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,e10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,g10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,i1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra18,i2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,moana auckland,kawhia,NA,NA,6587,NA,NA,caudal fin,NA,NA,4-09-18,september,spring,2018,05-09-2018,new zealand,,new zealand,002/003,FMA1,TRE1,NA,-34.95,174.04,N,95,kawhia.5.9.18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
