sampling.box,position,species,tissue.storage.location,preservation.method,reference.code,genbank.accession,museum.id,sample.source,fishing.vessel,vessel.registration,observer.code,field.no,trip,shot,tissue.type,fish.length,catch.depth,landing.date,month.caught,season.caught,year.caught,date.preserved,group,group2,location.country,location.stat.area,location.fma,location.qma,location.coordinate,location.latitude,location.longitude,exact.gps.known,radius,trip.picture,dna.extracted,extraction.start.date,extraction.round,dna.quantity,260.280,260.230,nanodrop.warning,repeat.extraction,tissue.remaining,extracted.dna.remaining,control.pcr.amplified,control.pcr.round,control.pcr.start.date,control.pcr.box.name,control.pcr.tube.number,control.sequenced,control.sequencing.round,control.successfully.sequenced,coi.pcr.amplified,coi.pcr.round,coi.pcr.start.date,coi.pcr.box.name,coi.pcr.tube.number,coi.sequenced,coi.sequencing.round,coi.successfully.sequenced,coi.sequence.available,subsample1,subsample2,subsample3
tra1,c2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,27,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,25-10-2018,18,2453.60,2.178,2.104,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,Y,3,,pcr round 3 coi,2,Y,3,NA,,,,
tra1,c3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,32,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,26-10-2018,19,2249.80,2.139,2.248,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,c4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,23,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,26-10-2018,19,1857.90,2.073,2.363,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,c5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,29,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,26-10-2018,19,1724.30,2.091,2.314,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,c6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,23,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,26-10-2018,19,2124.40,2.186,2.262,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,c7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,30,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,26-10-2018,19,1597.20,2.072,2.281,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,c8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,25,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,26-10-2018,19,1976.20,2.078,2.348,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,c9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,22,caudal fin,27,NA,19-09-18,september,spring,2018,19-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°49 S 174°44 E,-37.816667,174.733333,Y,5,NA,Y,26-10-2018,19,2233.10,2.100,2.334,none,N,Y,Y,Y,2,3-04-19,pcr round 2 control region,2,Y,2,Y,Y,2,05-04-2019,pcr round 2 coi,3,Y,2,N,,,,
tra1,c10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,22,caudal fin,29,NA,19-09-18,september,spring,2018,19-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°49 S 174°44 E,-37.816667,174.733333,Y,5,NA,Y,26-10-2018,19,2662.90,2.099,2.211,none,N,N,Y,Y,4,6-05-19,pcr round 4 control region,2,Y,4,N,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,e1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,22,caudal fin,28,NA,19-09-18,september,spring,2018,19-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°49 S 174°44 E,-37.816667,174.733333,Y,5,NA,Y,26-10-2018,19,2026.10,2.131,2.246,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,e2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,22,caudal fin,27,NA,19-09-18,september,spring,2018,19-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°49 S 174°44 E,-37.816667,174.733333,Y,5,NA,Y,26-10-2018,19,3004.50,2.032,2.335,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,e3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,22,caudal fin,26,NA,19-09-18,september,spring,2018,19-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°49 S 174°44 E,-37.816667,174.733333,Y,5,NA,Y,26-10-2018,19,2966.20,2.114,2.280,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,e4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,26,caudal fin,34,NA,20-09-18,september,spring,2018,20-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°55 S 174°35 E,-37.916667,174.583333,Y,5,NA,Y,26-10-2018,19,2218.80,2.103,2.421,none,N,Y,Y,Y,2,3-04-19,pcr round 2 control region,3,Y,2,Y,Y,2,05-04-2019,pcr round 2 coi,4,Y,2,N,,,,
tra1,e5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,26,caudal fin,37,NA,20-09-18,september,spring,2018,20-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°55 S 174°35 E,-37.916667,174.583333,Y,5,NA,Y,26-10-2018,19,2290.00,2.093,2.219,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,e6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,26,caudal fin,26,NA,20-09-18,september,spring,2018,20-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°55 S 174°35 E,-37.916667,174.583333,Y,5,NA,Y,26-10-2018,19,2954.20,2.061,2.290,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,e7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,26,caudal fin,29,NA,20-09-18,september,spring,2018,20-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°35 S 174°35 E,-37.583333,174.583333,Y,5,NA,Y,26-10-2018,19,6761.90,2.085,2.253,none,N,N,Y,Y,4,6-05-19,pcr round 4 control region,3,Y,4,Y,N,NA,NA,NA,NA,N,NA,NA,,Y,,
tra1,e8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,7,26,caudal fin,31,NA,20-09-18,september,spring,2018,20-09-2018,new zealand,,new zealand,042,FMA9,TRE7,37°35 S 174°35 E,-37.583333,174.583333,Y,5,NA,Y,26-10-2018,19,4556.40,2.079,2.225,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,a1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,1,caudal fin,38,NA,31-07-18,july,winter,2018,31-07-2018,new zealand,,new zealand,042,FMA9,TRE7,37°46.7 S 174°44.8 E,-37.778333,174.746667,Y,5,NA,Y,01-10-2018,11,1056.40,2.169,2.244,none,N,Y,Y,Y,3,5-04-19,pcr round 3 control region,1,Y,3,Y,Y,initial ,18-10-2018,Gradient annealing temperature PCR experiment (1.5),16 and 23,Y,initial,Y,,,Y,
tra2,a2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,1,caudal fin,34,NA,31-07-18,july,winter,2018,31-07-2018,new zealand,,new zealand,042,FMA9,TRE7,37°46.7 S 174°44.8 E,-37.778333,174.746667,Y,5,NA,Y,01-10-2018,11,2958.00,2.169,2.302,none,N,Y,Y,Y,3,5-04-19,pcr round 3 control region,2,Y,3,Y,Y,initial ,18-10-2018,Gradient annealing temperature PCR experiment (1.5),17 and 24,Y,initial,Y,,,Y,
tra2,a3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,1,caudal fin,28,NA,31-07-18,july,winter,2018,31-07-2018,new zealand,,new zealand,042,FMA9,TRE7,37°46.7 S 174°44.8 E,-37.778333,174.746667,Y,5,NA,Y,01-10-2018,11,1092.00,2.020,2.372,none,N,Y,Y,Y,3,5-04-19,pcr round 3 control region,3,Y,3,N,Y,initial ,18-10-2018,Gradient annealing temperature PCR experiment (1.5),18 and 25,Y,initial,Y,,,,
tra2,a4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,1,caudal fin,31,NA,31-07-18,july,winter,2018,31-07-2018,new zealand,,new zealand,042,FMA9,TRE7,37°46.7 S 174°44.8 E,-37.778333,174.746667,Y,5,NA,Y,01-10-2018,11,807.00,2.154,2.303,none,N,Y,Y,Y,3,5-04-19,pcr round 3 control region,4,Y,3,Y,Y,initial ,18-10-2018,Gradient annealing temperature PCR experiment (1.5),19 and 26,Y,initial,Y,,,,Y
tra2,a5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,1,caudal fin,28,NA,31-07-18,july,winter,2018,31-07-2018,new zealand,,new zealand,042,FMA9,TRE7,37°46.7 S 174°44.8 E,-37.778333,174.746667,Y,5,NA,Y,01-10-2018,11,1256.00,2.143,2.335,none,N,Y,Y,Y,3,5-04-19,pcr round 3 control region,5,Y,3,Y,Y,initial ,18-10-2018,Gradient annealing temperature PCR experiment (1.5),20 and 27,Y,initial,Y,,,Y,
tra2,a6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,2,caudal fin,32,NA,5-08-18,august,winter,2018,05-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°58.3 S 174°38.5 E,-37.971667,174.641667,Y,5,NA,Y,01-10-2018,11,1089.00,2.146,2.325,none,N,Y,Y,Y,3,5-04-19,pcr round 3 control region,6,Y,3,Y,Y,initial ,18-10-2018,Gradient annealing temperature PCR experiment (1.5),21 and 28,Y,initial,Y,,Y,Y,
tra2,a7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,2,caudal fin,31,NA,5-08-18,august,winter,2018,05-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°58.3 S 174°38.5 E,-37.971667,174.641667,Y,5,NA,Y,01-10-2018,11,1247.80,2.160,2.310,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,a8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,2,caudal fin,30,NA,5-08-18,august,winter,2018,05-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°58.3 S 174°38.5 E,-37.971667,174.641667,Y,5,NA,Y,01-10-2018,11,1234.90,2.217,2.319,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,a9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,2,caudal fin,27,NA,5-08-18,august,winter,2018,05-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°58.3 S 174°38.5 E,-37.971667,174.641667,Y,5,NA,Y,01-10-2018,11,1340.30,2.164,2.248,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,a10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,2,caudal fin,33,NA,5-08-18,august,winter,2018,05-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°58.3 S 174°38.5 E,-37.971667,174.641667,Y,5,NA,Y,01-10-2018,11,847.40,2.163,2.269,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,4,caudal fin,41,NA,6-08-18,august,winter,2018,06-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44.5 S 174°34.9 E,-37.741667,174.581667,Y,5,NA,Y,01-10-2018,11,952.65,2.193,2.254,none,N,Y,Y,Y,6,5-04-19,pcr round 6 control region,2,Y,5/6,Y,N,NA,NA,NA,NA,N,NA,NA,,Y,,
