,ID,nName,nodeDegree,nodeBetweenness,country,group
TRA8_I6_Round_2_control_A5_TRE_tRNA_Pro_F.ab1,0,TRA8_I6_Round_2_control_A5_TRE_tRNA_Pro_F.ab1,2,9.989628708,NZ,1
TRA9_E3_Round_3_control_D5_TRE_tRNA_Pro_F.ab1,1,TRA9_E3_Round_3_control_D5_TRE_tRNA_Pro_F.ab1,4,19.68282284,NZ,1
TRA11_C3_Round_2_control_G6_TRE_tRNA_Pro_F.ab1,2,TRA11_C3_Round_2_control_G6_TRE_tRNA_Pro_F.ab1,2,42.51400124,NZ,1
TRA20_C2_Round_2_control_G8_TRE_tRNA_Pro_F.ab1,3,TRA20_C2_Round_2_control_G8_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA22_A3_round1control_C8_TRE_tRNA_Pro_F.ab1,4,TRA22_A3_round1control_C8_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA29_A8_Round_2_control_A12_TRE_tRNA_Pro_F.ab1,5,TRA29_A8_Round_2_control_A12_TRE_tRNA_Pro_F.ab1,2,5.033533845,NZ,1
TRA36_A9_TRE_tRNA_Pro.ab1,6,TRA36_A9_TRE_tRNA_Pro.ab1,6,24.58687686,AUS,2
TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1,7,TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1,5,5.046440342,NZ,1
TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1,8,TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1,8,24.25554864,NZ,1
TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1,9,TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA12_E8_TRE_tRNA_Pro.ab1,10,TRA12_E8_TRE_tRNA_Pro.ab1,4,16.82361889,NZ,1
TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1,11,TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1,3,0,NZ,1
TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1,12,TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1,3,5.046440342,NZ,1
TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,13,TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,2,5.033533845,NZ,1
TRA24_E2_Round_3_control_H7_TRE_tRNA_Pro_F.ab1,14,TRA24_E2_Round_3_control_H7_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA35_C7_TRE_tRNA_Pro.ab1,15,TRA35_C7_TRE_tRNA_Pro.ab1,5,3.82705294,AUS,2
TRA36_E5_TRE_tRNA_Pro.ab1,16,TRA36_E5_TRE_tRNA_Pro.ab1,4,0,AUS,2
TRA37_C2_Round_3_control_H9_TRE_tRNA_Pro_F.ab1,17,TRA37_C2_Round_3_control_H9_TRE_tRNA_Pro_F.ab1,7,20.54659015,AUS,2
TRA37_C10_TRE_tRNA_Pro.ab1,18,TRA37_C10_TRE_tRNA_Pro.ab1,5,0.928161516,AUS,2
TRA8_I2_Round_2_control_G4_TRE_tRNA_Pro_F.ab1,19,TRA8_I2_Round_2_control_G4_TRE_tRNA_Pro_F.ab1,5,2.722256793,NZ,1
TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,20,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,7,19.92117818,NZ,1
TRA35_C9_TRE_tRNA_Pro.ab1,21,TRA35_C9_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA35_E3_TRE_tRNA_Pro.ab1,22,TRA35_E3_TRE_tRNA_Pro.ab1,8,51.19523382,AUS,2
TRA37_A1_TRE_tRNA_Pro.ab1,23,TRA37_A1_TRE_tRNA_Pro.ab1,3,2.723270875,AUS,2
TRA37_C1_TRE_tRNA_Pro.ab1,24,TRA37_C1_TRE_tRNA_Pro.ab1,2,5.033533845,AUS,2
TRA37_C5_Round_3_control_C10_TRE_tRNA_Pro_F.ab1,25,TRA37_C5_Round_3_control_C10_TRE_tRNA_Pro_F.ab1,4,39.88499389,AUS,2
TRA37_C9_TRE_tRNA_Pro.ab1,26,TRA37_C9_TRE_tRNA_Pro.ab1,4,7.068243103,AUS,2
TRA37_E2_TRE_tRNA_Pro.ab1,27,TRA37_E2_TRE_tRNA_Pro.ab1,5,25.68955265,AUS,2
TRA37_E8_TRE_tRNA_Pro.ab1,28,TRA37_E8_TRE_tRNA_Pro.ab1,3,10.0283482,AUS,2
TRA8_E7_Round_3_control_B4_TRE_tRNA_Pro_F.ab1,29,TRA8_E7_Round_3_control_B4_TRE_tRNA_Pro_F.ab1,6,10.21549241,NZ,1
TRA31_G5_TRE_tRNA_Pro.ab1,30,TRA31_G5_TRE_tRNA_Pro.ab1,4,2.497407177,NZ,1
TRA36_C2_Round_3_control_E9_TRE_tRNA_Pro_F.ab1,31,TRA36_C2_Round_3_control_E9_TRE_tRNA_Pro_F.ab1,3,5.033533845,AUS,2
TRA37_A2_round1control_A12_TRE_tRNA_Pro_F.ab1,32,TRA37_A2_round1control_A12_TRE_tRNA_Pro_F.ab1,3,0,AUS,2
TRA37_A5_round1control_F10_TRE_tRNA_Pro_F.ab1,33,TRA37_A5_round1control_F10_TRE_tRNA_Pro_F.ab1,8,71.23902372,AUS,2
TRA37_A8_TRE_tRNA_Pro.ab1,34,TRA37_A8_TRE_tRNA_Pro.ab1,6,51.83562654,AUS,2
TRA37_E1_TRE_tRNA_Pro.ab1,35,TRA37_E1_TRE_tRNA_Pro.ab1,4,4.801216898,AUS,2
TRA3_I6_Round_2_control_F2_TRE_tRNA_Pro_F.ab1,36,TRA3_I6_Round_2_control_F2_TRE_tRNA_Pro_F.ab1,2,5.033533845,NZ,1
TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,37,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,5,19.86309894,NZ,1
TRA12_G5_TRE_tRNA_Pro.ab1,38,TRA12_G5_TRE_tRNA_Pro.ab1,2,0,NZ,1
TRA16_A2_TRE_tRNA_Pro.ab1,39,TRA16_A2_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA31_E5_TRE_tRNA_Pro.ab1,40,TRA31_E5_TRE_tRNA_Pro.ab1,3,7.414782549,NZ,1
TRA37_C4_Round_3_control_B10_TRE_tRNA_Pro_F.ab1,41,TRA37_C4_Round_3_control_B10_TRE_tRNA_Pro_F.ab1,3,1.590080435,AUS,2
TRA37_E6_TRE_tRNA_Pro.ab1,42,TRA37_E6_TRE_tRNA_Pro.ab1,1,0,AUS,2
TRA36_A3_round1control_H10_TRE_tRNA_Pro_F.ab1,43,TRA36_A3_round1control_H10_TRE_tRNA_Pro_F.ab1,2,0,AUS,2
TRA36_A7_round1control_C11_TRE_tRNA_Pro_F.ab1,44,TRA36_A7_round1control_C11_TRE_tRNA_Pro_F.ab1,3,22.25033995,AUS,2
TRA37_A3_round1control_G11_TRE_tRNA_Pro_F.ab1,45,TRA37_A3_round1control_G11_TRE_tRNA_Pro_F.ab1,7,39.61557077,AUS,2
TRA37_A6_round1control_B12_TRE_tRNA_Pro_F.ab1,46,TRA37_A6_round1control_B12_TRE_tRNA_Pro_F.ab1,2,14.86828459,AUS,2
TRA7_G10_round1control_G3_TRE_tRNA_Pro_F.ab1,47,TRA7_G10_round1control_G3_TRE_tRNA_Pro_F.ab1,3,14.46772223,NZ,1
TRA11_C7_Round_2_control_C7_TRE_tRNA_Pro_F.ab1,48,TRA11_C7_Round_2_control_C7_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA27_A5_TRE_tRNA_Pro.ab1,49,TRA27_A5_TRE_tRNA_Pro.ab1,3,0,NZ,1
TRA35_E10_TRE_tRNA_Pro.ab1,50,TRA35_E10_TRE_tRNA_Pro.ab1,5,29.07234553,AUS,2
TRA37_E7_TRE_tRNA_Pro.ab1,51,TRA37_E7_TRE_tRNA_Pro.ab1,7,65.21390214,AUS,2
TRA8_I8_Round_3_control_F4_TRE_tRNA_Pro_F.ab1,52,TRA8_I8_Round_3_control_F4_TRE_tRNA_Pro_F.ab1,3,38.09997926,NZ,1
TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,53,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,6,79.23335408,NZ,1
TRA35_E9_TRE_tRNA_Pro.ab1,54,TRA35_E9_TRE_tRNA_Pro.ab1,5,47.70056927,AUS,2
TRA37_C8_TRE_tRNA_Pro.ab1,55,TRA37_C8_TRE_tRNA_Pro.ab1,2,11.76712992,AUS,2
TRA2_A5_Round_3_control_E1_TRE_tRNA_Pro_F.ab1,56,TRA2_A5_Round_3_control_E1_TRE_tRNA_Pro_F.ab1,2,0.012906497,NZ,1
TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,57,TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,5,9.634700039,NZ,1
TRA8_E10_Round_2_control_A4_TRE_tRNA_Pro_F.ab1,58,TRA8_E10_Round_2_control_A4_TRE_tRNA_Pro_F.ab1,3,18.66279472,NZ,1
TRA12_E10_TRE_tRNA_Pro.ab1,59,TRA12_E10_TRE_tRNA_Pro.ab1,3,5.104519579,NZ,1
TRA29_A3_Round_2_control_D11_TRE_tRNA_Pro_F.ab1,60,TRA29_A3_Round_2_control_D11_TRE_tRNA_Pro_F.ab1,2,0,NZ,1
TRA36_E1_TRE_tRNA_Pro.ab1,61,TRA36_E1_TRE_tRNA_Pro.ab1,2,9.178455369,AUS,2
TRA37_A4_round1control_H11_TRE_tRNA_Pro_F.ab1,62,TRA37_A4_round1control_H11_TRE_tRNA_Pro_F.ab1,5,18.09066814,AUS,2
TRA37_A7_round1control_C12_TRE_tRNA_Pro_F.ab1,63,TRA37_A7_round1control_C12_TRE_tRNA_Pro_F.ab1,3,6.1949342,AUS,2
TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1,64,TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1,7,100,NZ,1
TRA16_A7_TRE_tRNA_Pro.ab1,65,TRA16_A7_TRE_tRNA_Pro.ab1,1,0,NZ,1
TRA35_A5_round1control_G9_TRE_tRNA_Pro_F.ab1,66,TRA35_A5_round1control_G9_TRE_tRNA_Pro_F.ab1,2,5.033533845,AUS,2
TRA35_C5_Round_3_control_A9_TRE_tRNA_Pro_F.ab1,67,TRA35_C5_Round_3_control_A9_TRE_tRNA_Pro_F.ab1,1,0,AUS,2
TRA35_C6_Round_3_control_B9_TRE_tRNA_Pro_F.ab1,68,TRA35_C6_Round_3_control_B9_TRE_tRNA_Pro_F.ab1,6,86.26988407,AUS,2
TRA35_E4_TRE_tRNA_Pro.ab1,69,TRA35_E4_TRE_tRNA_Pro.ab1,3,35.68535804,AUS,2
