"","SourceName","TargetName","Weight","SourceID","TargetID","diceSim"
"1","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1","TRA9_A9_Round_2_control_C5_TRE_tRNA_Pro_F.ab1",5,27,8,0.333333333333333
"2","TRA11_C5_Round_2_control_A7_TRE_tRNA_Pro_F.ab1","TRA7_A8_Round_3_control_A3_TRE_tRNA_Pro_F.ab1",5,26,98,0
"3","TRA12_E10_TRE_tRNA_Pro.ab1","TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1",14,76,112,0.333333333333333
"4","TRA12_E10_TRE_tRNA_Pro.ab1","TRA8_G2_Round_3_control_C4_TRE_tRNA_Pro_F.ab1",13,76,33,0
"5","TRA12_E7_TRE_tRNA_Pro.ab1","P048495_TRE_tRNA_Pro.ab1",11,16,125,0
"6","TRA12_E7_TRE_tRNA_Pro.ab1","TRA3_I4_Round_2_control_D2_TRE_tRNA_Pro_F.ab1",10,16,95,0.142857142857143
"7","TRA12_E7_TRE_tRNA_Pro.ab1","TRA7_I7_TRE_tRNA_Pro.ab1",6,16,2,0.352941176470588
"8","TRA12_E7_TRE_tRNA_Pro.ab1","TRA8_C6_round1control_B4_TRE_tRNA_Pro_F.ab1",7,16,116,0.285714285714286
"9","TRA12_E7_TRE_tRNA_Pro.ab1","TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1",4,16,35,0.736842105263158
"10","TRA12_E9_TRE_tRNA_Pro.ab1","TRA3_A1_Round_3_control_G1_TRE_tRNA_Pro_F.ab1",17,37,131,0.333333333333333
"11","TRA12_E9_TRE_tRNA_Pro.ab1","TRA9_A2_round1control_B5_TRE_tRNA_Pro_F.ab1",6,37,36,0.2
"12","TRA12_G5_TRE_tRNA_Pro.ab1","TRA8_E7_Round_3_control_B4_TRE_tRNA_Pro_F.ab1",6,38,46,0
"13","TRA15_A9_TRE_tRNA_Pro.ab1","TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1",3,9,58,0
"14","TRA16_A4_TRE_tRNA_Pro.ab1","TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1",16,91,121,0
"15","TRA16_A9_TRE_tRNA_Pro.ab1","TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1",10,59,121,0
"16","TRA2_A6_Round_3_control_F1_TRE_tRNA_Pro_F.ab1","P048492_TRE_tRNA_Pro.ab1",11,61,118,0
"17","TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1","P048492_TRE_tRNA_Pro.ab1",10,58,118,0
"18","TRA20_C1_Round_2_control_F8_TRE_tRNA_Pro_F.ab1","TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1",7,47,58,0
"19","TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1","TRA8_G2_Round_3_control_C4_TRE_tRNA_Pro_F.ab1",15,86,33,0
"20","TRA20_C8_Round_2_control_E9_TRE_tRNA_Pro_F.ab1","TRA8_G2_Round_3_control_C4_TRE_tRNA_Pro_F.ab1",7,48,33,0
"21","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1","P048492_TRE_tRNA_Pro.ab1",9,39,118,0
"22","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1","TRA12_E10_TRE_tRNA_Pro.ab1",14,39,76,0.181818181818182
"23","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1","TRA12_E7_TRE_tRNA_Pro.ab1",10,39,16,0
"24","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1","TRA7_A2_round1control_B3_TRE_tRNA_Pro_F.ab1",13,39,127,0
"25","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1","TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1",6,39,112,0.363636363636364
"26","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1","TRA9_A2_round1control_B5_TRE_tRNA_Pro_F.ab1",17,39,36,0.133333333333333
"27","TRA21_G3_TRE_tRNA_Pro.ab1","TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1",11,62,58,0
"28","TRA22_A10_Round_3_control_A7_TRE_tRNA_Pro_F.ab1","P046470_TRE_tRNA_Pro.ab1",4,17,105,0.4
"29","TRA22_A2_round1control_B8_TRE_tRNA_Pro_F.ab1","TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1",16,92,39,0
"30","TRA22_C3_Round_3_control_D7_TRE_tRNA_Pro_F.ab1","TRA12_E7_TRE_tRNA_Pro.ab1",8,51,16,0.153846153846154
"31","TRA22_C3_Round_3_control_D7_TRE_tRNA_Pro_F.ab1","TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1",8,51,35,0.2
"32","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","P049254_TRE_tRNA_Pro.ab1",10,18,122,0
"33","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA11_C4_Round_2_control_H6_TRE_tRNA_Pro_F.ab1",6,18,113,0
"34","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA12_E9_TRE_tRNA_Pro.ab1",6,18,37,0.444444444444444
"35","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA3_A1_Round_3_control_G1_TRE_tRNA_Pro_F.ab1",17,18,131,0.222222222222222
"36","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA8_A3_Round_3_control_D3_TRE_tRNA_Pro_F.ab1",4,18,106,0.25
"37","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA9_A2_round1control_B5_TRE_tRNA_Pro_F.ab1",6,18,36,0.307692307692308
"38","TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1","TRA12_E7_TRE_tRNA_Pro.ab1",4,19,16,0.153846153846154
"39","TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1","TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1",4,19,35,0.2
"40","TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1","TRA12_E7_TRE_tRNA_Pro.ab1",8,52,16,0.4
