"","SourceName","TargetName","Weight","SourceID","TargetID","diceSim"
"1","TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1","TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1",8,53,91,0
"2","TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1","TRA8_E10_Round_2_control_A4_TRE_tRNA_Pro_F.ab1",10,53,58,0
"3","TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1","TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1",11,53,8,0
"4","TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1","TRA9_E3_Round_3_control_D5_TRE_tRNA_Pro_F.ab1",11,53,1,0
"5","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1","TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1",5,37,9,0.285714285714286
"6","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1","TRA6_A2_round1control_F2_TRE_tRNA_Pro_F.ab1",5,37,95,0.285714285714286
"7","TRA11_C3_Round_2_control_G6_TRE_tRNA_Pro_F.ab1","TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1",13,2,64,0
"8","TRA11_C3_Round_2_control_G6_TRE_tRNA_Pro_F.ab1","TRA8_I8_Round_3_control_F4_TRE_tRNA_Pro_F.ab1",1,2,52,0
"9","TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1","TRA6_A2_round1control_F2_TRE_tRNA_Pro_F.ab1",2,9,95,0.5
"10","TRA11_C7_Round_2_control_C7_TRE_tRNA_Pro_F.ab1","TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1",7,48,91,0
"11","TRA11_E1_Round_3_control_F5_TRE_tRNA_Pro_F.ab1","TRA7_G10_round1control_G3_TRE_tRNA_Pro_F.ab1",16,86,47,0
"12","TRA12_E10_TRE_tRNA_Pro.ab1","TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1",10,59,91,0
"13","TRA12_E10_TRE_tRNA_Pro.ab1","TRA8_E10_Round_2_control_A4_TRE_tRNA_Pro_F.ab1",9,59,58,0
"14","TRA12_E8_TRE_tRNA_Pro.ab1","TRA11_A3_round1control_C6_TRE_tRNA_Pro_F.ab1",2,10,96,0.333333333333333
"15","TRA12_E8_TRE_tRNA_Pro.ab1","TRA8_I4_Round_3_control_E4_TRE_tRNA_Pro_F.ab1",8,10,120,0.571428571428572
"16","TRA12_E8_TRE_tRNA_Pro.ab1","TRA8_I8_Round_3_control_F4_TRE_tRNA_Pro_F.ab1",2,10,52,0.285714285714286
"17","TRA12_G5_TRE_tRNA_Pro.ab1","TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1",10,38,91,0.25
"18","TRA12_G5_TRE_tRNA_Pro.ab1","TRA8_E7_Round_3_control_B4_TRE_tRNA_Pro_F.ab1",5,38,29,0.25
"19","TRA16_A2_TRE_tRNA_Pro.ab1","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1",5,39,37,0
"20","TRA16_A7_TRE_tRNA_Pro.ab1","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1",10,65,37,0
"21","TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1","P048662_TRE_tRNA_Pro.ab1",10,64,114,0
"22","TRA2_A5_Round_3_control_E1_TRE_tRNA_Pro_F.ab1","P048662_TRE_tRNA_Pro.ab1",9,56,114,0
"23","TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1","TRA7_A3_round1control_C3_TRE_tRNA_Pro_F.ab1",3,11,94,0.571428571428572
"24","TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1","TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1",3,11,7,0.5
"25","TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1","TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1",2,11,8,0.363636363636364
"26","TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1","P048619_TRE_tRNA_Pro.ab1",2,12,97,0
"27","TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1","P048662_TRE_tRNA_Pro.ab1",5,12,114,0
"28","TRA20_C2_Round_2_control_G8_TRE_tRNA_Pro_F.ab1","TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1",1,3,91,0
"29","TRA22_A3_round1control_C8_TRE_tRNA_Pro_F.ab1","TRA8_E6_Round_2_control_G3_TRE_tRNA_Pro_F.ab1",1,4,89,0
"30","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA11_A3_round1control_C6_TRE_tRNA_Pro_F.ab1",6,20,96,0.222222222222222
"31","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA12_E8_TRE_tRNA_Pro.ab1",6,20,10,0.363636363636364
"32","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA2_I3_round1control_F1_TRE_tRNA_Pro_F.ab1",4,20,108,0
"33","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA7_I8_TRE_tRNA_Pro.ab1",4,20,109,0
"34","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA8_A3_Round_3_control_D3_TRE_tRNA_Pro_F.ab1",3,20,101,0
"35","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1","TRA8_I4_Round_3_control_E4_TRE_tRNA_Pro_F.ab1",8,20,120,0.2
"36","TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1","P051980_TRE_tRNA_Pro.ab1",3,13,90,0
"37","TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1","TRA24_C6_Round_2_control_G10_TRE_tRNA_Pro_F.ab1",2,13,98,0
"38","TRA24_E2_Round_3_control_H7_TRE_tRNA_Pro_F.ab1","TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1",2,14,20,0
"39","TRA26_E10_TRE_tRNA_Pro.ab1","TRA12_E10_TRE_tRNA_Pro.ab1",13,80,59,0
"40","TRA27_A5_TRE_tRNA_Pro.ab1","P051980_TRE_tRNA_Pro.ab1",7,49,90,0.333333333333333
"41","TRA27_A5_TRE_tRNA_Pro.ab1","TRA8_I2_Round_2_control_G4_TRE_tRNA_Pro_F.ab1",7,49,19,0.5
"42","TRA27_A5_TRE_tRNA_Pro.ab1","TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1",7,49,8,0.363636363636364
"43","TRA29_A3_Round_2_control_D11_TRE_tRNA_Pro_F.ab1","TRA3_C7_TRE_tRNA_Pro.ab1",9,60,110,0.333333333333333
"44","TRA29_A8_Round_2_control_A12_TRE_tRNA_Pro_F.ab1","P051980_TRE_tRNA_Pro.ab1",5,5,90,0
"45","TRA29_A8_Round_2_control_A12_TRE_tRNA_Pro_F.ab1","TRA22_C3_Round_3_control_D7_TRE_tRNA_Pro_F.ab1",1,5,92,0
"46","TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1","P055167_TRE_tRNA_Pro.ab1",9,57,107,0.285714285714286
"47","TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1","TRA3_C7_TRE_tRNA_Pro.ab1",9,57,110,0.444444444444444
"48","TRA3_I6_Round_2_control_F2_TRE_tRNA_Pro_F.ab1","P046472_TRE_tRNA_Pro.ab1",5,36,113,0
"49","TRA31_E5_TRE_tRNA_Pro.ab1","TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1",10,40,64,0
"50","TRA31_E5_TRE_tRNA_Pro.ab1","TRA2_A5_Round_3_control_E1_TRE_tRNA_Pro_F.ab1",9,40,56,0
"51","TRA31_E5_TRE_tRNA_Pro.ab1","TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1",5,40,12,0
"52","TRA31_G5_TRE_tRNA_Pro.ab1","TRA29_A3_Round_2_control_D11_TRE_tRNA_Pro_F.ab1",9,30,60,0.333333333333333
