"","season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"34","spring","new zealand","37°42 S 177°28 E",-37.7,177.466667,5,"16-09-18","","Y","",1
"35","spring","new zealand","37°42 S 177°28 E",-37.7,177.466667,5,"16-09-18","Y","","",1
"36","spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","","","",2
"37","spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","","","Y",1
"38","spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","Y","","",1
"39","spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","","",1
"40","spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","Y","",1
"41","spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","Y","Y",1
"42","spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","Y","Y","",1
"43","spring","new zealand","37°48 S 174°44 E",-37.8,174.733333,5,"29-09-18","Y","","",1
"44","spring","new zealand","37°48.7 S 174°37.6 E",-37.811667,174.626667,5,"10-09-18","","","",1
"45","spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"14-11-18","","","",1
"46","spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"19-09-18","","","",1
"47","spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"19-10-18","","","",1
"48","spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"21-10-18","","Y","",1
"49","spring","new zealand","37°52.7 S 174°37.3 E",-37.878333,174.621667,5,"11-09-18","","","",2
"50","spring","new zealand","37°53 S 174°42 E",-37.883333,174.7,5,"8-10-18","","","",1
"51","spring","new zealand","37°53 S 174°42 E",-37.883333,174.7,5,"8-10-18","","Y","",1
"52","spring","new zealand","37°54 S 174°43 E",-37.9,174.716667,5,"15-11-18","","","",1
"53","spring","new zealand","37°55 S 174°35 E",-37.916667,174.583333,5,"20-09-18","","","",1
"54","spring","new zealand","37°56.7 S 174°36.3 E",-37.945,174.605,5,"20-09-18","","","",1
"55","spring","new zealand","37°57 S 174°43 E",-37.95,174.716667,5,"20-10-18","","","",1
"56","spring","new zealand","37°58 S 174°43 E",-37.966667,174.716667,5,"16-11-18","","","",1
"57","spring","new zealand","38 9.200' S 174 1.050' E",-38.153333,174.0175,5,"6-10-09","","","Y",1
"58","spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","","","",2
"59","spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","","","Y",2
"60","spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","Y","","Y",1
"61","spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","Y","Y","Y",1
"62","spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"16-11-18","","","",2
"63","spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"16-11-18","","Y","",2
"64","spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"16-11-18","Y","","",1
"65","spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","","","",2
"66","spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","","","Y",2
"67","spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","Y","","",1
"68","spring","new zealand","38°04.5 S 174°36.7 E",-38.075,174.611667,5,"19-09-18","","","",3
"69","spring","new zealand","38°04.5 S 174°36.7 E",-38.075,174.611667,5,"19-09-18","","Y","",2
"70","spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","","",7
"71","spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","","Y",5
"72","spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","Y","",2
"73","spring","new zealand",NA,-38.93,178.09,45,"6-11-18","Y","","",3
"74","spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","","",3
